#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:11:36 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:11:36	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=0.9
#-out=track
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	track	Zini	logL	logTe
Msun	 	 	[Lsun]	[K]
------	-----	------	-------	-----
  0.90	track	 0.014	 -0.356	3.724
  0.90	track	 0.014	 -0.348	3.725
  0.90	track	 0.014	 -0.346	3.725
  0.90	track	 0.014	 -0.343	3.725
  0.90	track	 0.014	 -0.341	3.725
  0.90	track	 0.014	 -0.339	3.725
  0.90	track	 0.014	 -0.337	3.725
  0.90	track	 0.014	 -0.334	3.725
  0.90	track	 0.014	 -0.332	3.725
  0.90	track	 0.014	 -0.329	3.726
  0.90	track	 0.014	 -0.327	3.726
  0.90	track	 0.014	 -0.324	3.726
  0.90	track	 0.014	 -0.322	3.726
  0.90	track	 0.014	 -0.319	3.726
  0.90	track	 0.014	 -0.317	3.727
  0.90	track	 0.014	 -0.314	3.727
  0.90	track	 0.014	 -0.311	3.727
  0.90	track	 0.014	 -0.308	3.727
  0.90	track	 0.014	 -0.305	3.728
  0.90	track	 0.014	 -0.303	3.728
  0.90	track	 0.014	 -0.300	3.728
  0.90	track	 0.014	 -0.297	3.728
  0.90	track	 0.014	 -0.294	3.728
  0.90	track	 0.014	 -0.291	3.729
  0.90	track	 0.014	 -0.288	3.729
  0.90	track	 0.014	 -0.285	3.729
  0.90	track	 0.014	 -0.282	3.729
  0.90	track	 0.014	 -0.279	3.730
  0.90	track	 0.014	 -0.276	3.730
  0.90	track	 0.014	 -0.273	3.730
  0.90	track	 0.014	 -0.270	3.730
  0.90	track	 0.014	 -0.267	3.731
  0.90	track	 0.014	 -0.264	3.731
  0.90	track	 0.014	 -0.260	3.731
  0.90	track	 0.014	 -0.257	3.731
  0.90	track	 0.014	 -0.254	3.732
  0.90	track	 0.014	 -0.251	3.732
  0.90	track	 0.014	 -0.247	3.732
  0.90	track	 0.014	 -0.244	3.732
  0.90	track	 0.014	 -0.241	3.733
  0.90	track	 0.014	 -0.237	3.733
  0.90	track	 0.014	 -0.234	3.733
  0.90	track	 0.014	 -0.231	3.733
  0.90	track	 0.014	 -0.227	3.734
  0.90	track	 0.014	 -0.224	3.734
  0.90	track	 0.014	 -0.220	3.734
  0.90	track	 0.014	 -0.217	3.734
  0.90	track	 0.014	 -0.213	3.734
  0.90	track	 0.014	 -0.210	3.735
  0.90	track	 0.014	 -0.206	3.735
  0.90	track	 0.014	 -0.203	3.735
