#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:11:23 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:11:23	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=0.8
#-out=track
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	track	(a5)	Evolutionary trask for this mass	[ucd=meta.ref.url]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	track	Zini	logL	logTe
Msun	 	 	[Lsun]	[K]
------	-----	------	-------	-----
  0.80	track	 0.014	 -0.591	3.688
  0.80	track	 0.014	 -0.589	3.687
  0.80	track	 0.014	 -0.588	3.687
  0.80	track	 0.014	 -0.586	3.687
  0.80	track	 0.014	 -0.584	3.687
  0.80	track	 0.014	 -0.582	3.687
  0.80	track	 0.014	 -0.580	3.687
  0.80	track	 0.014	 -0.578	3.687
  0.80	track	 0.014	 -0.576	3.688
  0.80	track	 0.014	 -0.573	3.688
  0.80	track	 0.014	 -0.571	3.688
  0.80	track	 0.014	 -0.569	3.688
  0.80	track	 0.014	 -0.566	3.688
  0.80	track	 0.014	 -0.564	3.689
  0.80	track	 0.014	 -0.561	3.689
  0.80	track	 0.014	 -0.558	3.689
  0.80	track	 0.014	 -0.556	3.689
  0.80	track	 0.014	 -0.553	3.690
  0.80	track	 0.014	 -0.550	3.690
  0.80	track	 0.014	 -0.548	3.690
  0.80	track	 0.014	 -0.545	3.690
  0.80	track	 0.014	 -0.542	3.691
  0.80	track	 0.014	 -0.539	3.691
  0.80	track	 0.014	 -0.536	3.691
  0.80	track	 0.014	 -0.533	3.692
  0.80	track	 0.014	 -0.530	3.692
  0.80	track	 0.014	 -0.527	3.692
  0.80	track	 0.014	 -0.524	3.692
  0.80	track	 0.014	 -0.521	3.693
  0.80	track	 0.014	 -0.518	3.693
  0.80	track	 0.014	 -0.515	3.693
  0.80	track	 0.014	 -0.512	3.694
  0.80	track	 0.014	 -0.508	3.694
  0.80	track	 0.014	 -0.505	3.694
  0.80	track	 0.014	 -0.502	3.695
  0.80	track	 0.014	 -0.499	3.695
  0.80	track	 0.014	 -0.495	3.695
  0.80	track	 0.014	 -0.492	3.696
  0.80	track	 0.014	 -0.489	3.696
  0.80	track	 0.014	 -0.485	3.696
  0.80	track	 0.014	 -0.482	3.697
  0.80	track	 0.014	 -0.478	3.697
  0.80	track	 0.014	 -0.474	3.697
  0.80	track	 0.014	 -0.471	3.698
  0.80	track	 0.014	 -0.467	3.698
  0.80	track	 0.014	 -0.463	3.699
  0.80	track	 0.014	 -0.460	3.699
  0.80	track	 0.014	 -0.456	3.699
  0.80	track	 0.014	 -0.452	3.700
  0.80	track	 0.014	 -0.448	3.700
  0.80	track	 0.014	 -0.445	3.700
