#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:52:02 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:52:02	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=20
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
 20.00	 0.014	  4.615	4.553
 20.00	 0.014	  4.619	4.549
 20.00	 0.014	  4.623	4.547
 20.00	 0.014	  4.628	4.546
 20.00	 0.014	  4.633	4.544
 20.00	 0.014	  4.637	4.544
 20.00	 0.014	  4.642	4.543
 20.00	 0.014	  4.647	4.542
 20.00	 0.014	  4.652	4.541
 20.00	 0.014	  4.656	4.541
 20.00	 0.014	  4.661	4.540
 20.00	 0.014	  4.666	4.539
 20.00	 0.014	  4.671	4.539
 20.00	 0.014	  4.675	4.538
 20.00	 0.014	  4.680	4.537
 20.00	 0.014	  4.684	4.537
 20.00	 0.014	  4.689	4.536
 20.00	 0.014	  4.693	4.535
 20.00	 0.014	  4.698	4.534
 20.00	 0.014	  4.703	4.534
 20.00	 0.014	  4.707	4.533
 20.00	 0.014	  4.712	4.532
 20.00	 0.014	  4.716	4.532
 20.00	 0.014	  4.720	4.531
 20.00	 0.014	  4.725	4.530
 20.00	 0.014	  4.729	4.529
 20.00	 0.014	  4.733	4.528
 20.00	 0.014	  4.738	4.528
 20.00	 0.014	  4.742	4.527
 20.00	 0.014	  4.746	4.526
 20.00	 0.014	  4.750	4.525
 20.00	 0.014	  4.755	4.524
 20.00	 0.014	  4.759	4.523
 20.00	 0.014	  4.763	4.521
 20.00	 0.014	  4.767	4.520
 20.00	 0.014	  4.771	4.519
 20.00	 0.014	  4.775	4.518
 20.00	 0.014	  4.779	4.517
 20.00	 0.014	  4.783	4.515
 20.00	 0.014	  4.787	4.514
 20.00	 0.014	  4.792	4.513
 20.00	 0.014	  4.795	4.512
 20.00	 0.014	  4.799	4.510
 20.00	 0.014	  4.803	4.509
 20.00	 0.014	  4.807	4.507
 20.00	 0.014	  4.811	4.506
 20.00	 0.014	  4.815	4.504
 20.00	 0.014	  4.819	4.503
 20.00	 0.014	  4.823	4.501
 20.00	 0.014	  4.827	4.499
 20.00	 0.014	  4.831	4.497
 20.00	 0.014	  4.834	4.496
 20.00	 0.014	  4.838	4.494
 20.00	 0.014	  4.842	4.492
 20.00	 0.014	  4.846	4.490
 20.00	 0.014	  4.849	4.488
 20.00	 0.014	  4.853	4.486
