#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:52:16 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:52:16	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=25
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
 25.00	 0.014	  4.866	4.589
 25.00	 0.014	  4.870	4.585
 25.00	 0.014	  4.874	4.583
 25.00	 0.014	  4.879	4.581
 25.00	 0.014	  4.883	4.580
 25.00	 0.014	  4.888	4.579
 25.00	 0.014	  4.892	4.578
 25.00	 0.014	  4.897	4.577
 25.00	 0.014	  4.901	4.576
 25.00	 0.014	  4.906	4.576
 25.00	 0.014	  4.910	4.575
 25.00	 0.014	  4.914	4.574
 25.00	 0.014	  4.919	4.573
 25.00	 0.014	  4.923	4.573
 25.00	 0.014	  4.928	4.572
 25.00	 0.014	  4.932	4.571
 25.00	 0.014	  4.936	4.570
 25.00	 0.014	  4.940	4.569
 25.00	 0.014	  4.945	4.569
 25.00	 0.014	  4.949	4.568
 25.00	 0.014	  4.953	4.567
 25.00	 0.014	  4.957	4.566
 25.00	 0.014	  4.961	4.565
 25.00	 0.014	  4.966	4.564
 25.00	 0.014	  4.970	4.563
 25.00	 0.014	  4.974	4.562
 25.00	 0.014	  4.978	4.561
 25.00	 0.014	  4.982	4.560
 25.00	 0.014	  4.986	4.559
 25.00	 0.014	  4.990	4.558
 25.00	 0.014	  4.994	4.557
 25.00	 0.014	  4.998	4.556
 25.00	 0.014	  5.002	4.555
 25.00	 0.014	  5.006	4.553
 25.00	 0.014	  5.010	4.552
 25.00	 0.014	  5.014	4.551
 25.00	 0.014	  5.018	4.549
 25.00	 0.014	  5.022	4.548
 25.00	 0.014	  5.025	4.547
 25.00	 0.014	  5.029	4.545
 25.00	 0.014	  5.033	4.544
 25.00	 0.014	  5.037	4.542
 25.00	 0.014	  5.041	4.540
 25.00	 0.014	  5.044	4.539
 25.00	 0.014	  5.048	4.537
 25.00	 0.014	  5.052	4.535
 25.00	 0.014	  5.056	4.534
 25.00	 0.014	  5.059	4.532
 25.00	 0.014	  5.063	4.530
 25.00	 0.014	  5.067	4.528
 25.00	 0.014	  5.070	4.526
 25.00	 0.014	  5.074	4.524
 25.00	 0.014	  5.078	4.522
 25.00	 0.014	  5.081	4.520
 25.00	 0.014	  5.085	4.516
 25.00	 0.014	  5.089	4.514
 25.00	 0.014	  5.092	4.512
