#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:50:41 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:50:41	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.50
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
  1.50	 0.014	  0.674	3.856
  1.50	 0.014	  0.677	3.857
  1.50	 0.014	  0.681	3.858
  1.50	 0.014	  0.684	3.858
  1.50	 0.014	  0.687	3.858
  1.50	 0.014	  0.690	3.858
  1.50	 0.014	  0.693	3.858
  1.50	 0.014	  0.696	3.858
  1.50	 0.014	  0.700	3.858
  1.50	 0.014	  0.703	3.858
  1.50	 0.014	  0.706	3.858
  1.50	 0.014	  0.709	3.858
  1.50	 0.014	  0.712	3.858
  1.50	 0.014	  0.714	3.858
  1.50	 0.014	  0.717	3.858
  1.50	 0.014	  0.720	3.858
  1.50	 0.014	  0.723	3.858
  1.50	 0.014	  0.726	3.857
  1.50	 0.014	  0.729	3.857
  1.50	 0.014	  0.731	3.857
  1.50	 0.014	  0.734	3.857
  1.50	 0.014	  0.738	3.856
  1.50	 0.014	  0.740	3.856
  1.50	 0.014	  0.743	3.856
  1.50	 0.014	  0.745	3.855
  1.50	 0.014	  0.747	3.855
  1.50	 0.014	  0.750	3.854
  1.50	 0.014	  0.752	3.854
  1.50	 0.014	  0.754	3.854
  1.50	 0.014	  0.758	3.853
  1.50	 0.014	  0.760	3.852
  1.50	 0.014	  0.762	3.852
  1.50	 0.014	  0.764	3.851
  1.50	 0.014	  0.766	3.851
  1.50	 0.014	  0.768	3.850
  1.50	 0.014	  0.770	3.849
  1.50	 0.014	  0.772	3.849
  1.50	 0.014	  0.774	3.848
  1.50	 0.014	  0.776	3.847
  1.50	 0.014	  0.777	3.847
  1.50	 0.014	  0.779	3.846
  1.50	 0.014	  0.781	3.845
  1.50	 0.014	  0.782	3.845
  1.50	 0.014	  0.784	3.844
  1.50	 0.014	  0.785	3.843
  1.50	 0.014	  0.787	3.842
  1.50	 0.014	  0.789	3.841
  1.50	 0.014	  0.790	3.841
  1.50	 0.014	  0.792	3.840
  1.50	 0.014	  0.793	3.839
  1.50	 0.014	  0.794	3.838
  1.50	 0.014	  0.796	3.837
  1.50	 0.014	  0.797	3.836
  1.50	 0.014	  0.799	3.836
  1.50	 0.014	  0.800	3.835
  1.50	 0.014	  0.801	3.834
  1.50	 0.014	  0.802	3.834
