#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T23:50:27 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T23:50:27	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/tables}&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146&HTTPPRM:&&-ref=VIZ654d5c4f1a99a0&-out.max=50&-out.form=HTML Table&-order=I&-oc.form=sexa&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source=J/A+A/537/A146/tables,J/A+A/537/A146/iso
#-order=I
#-out=Mini
#Mini=1.35
#track=track
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#iso=iso
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_tables:
#Name: J/A+A/537/A146/tables
#Title: Evolutionary tracks
#Column	Mini	(F6.2)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F6.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
Mini	Zini	logL	logTe
Msun	 	[Lsun]	[K]
------	------	-------	-----
  1.35	 0.014	  0.460	3.824
  1.35	 0.014	  0.464	3.825
  1.35	 0.014	  0.468	3.825
  1.35	 0.014	  0.471	3.825
  1.35	 0.014	  0.474	3.825
  1.35	 0.014	  0.477	3.825
  1.35	 0.014	  0.480	3.826
  1.35	 0.014	  0.483	3.826
  1.35	 0.014	  0.486	3.826
  1.35	 0.014	  0.490	3.826
  1.35	 0.014	  0.493	3.826
  1.35	 0.014	  0.495	3.826
  1.35	 0.014	  0.499	3.826
  1.35	 0.014	  0.501	3.826
  1.35	 0.014	  0.505	3.826
  1.35	 0.014	  0.508	3.826
  1.35	 0.014	  0.510	3.826
  1.35	 0.014	  0.513	3.826
  1.35	 0.014	  0.516	3.826
  1.35	 0.014	  0.519	3.827
  1.35	 0.014	  0.521	3.827
  1.35	 0.014	  0.524	3.827
  1.35	 0.014	  0.527	3.827
  1.35	 0.014	  0.530	3.827
  1.35	 0.014	  0.532	3.827
  1.35	 0.014	  0.535	3.827
  1.35	 0.014	  0.538	3.826
  1.35	 0.014	  0.540	3.826
  1.35	 0.014	  0.542	3.826
  1.35	 0.014	  0.545	3.826
  1.35	 0.014	  0.548	3.826
  1.35	 0.014	  0.551	3.826
  1.35	 0.014	  0.553	3.826
  1.35	 0.014	  0.556	3.826
  1.35	 0.014	  0.559	3.826
  1.35	 0.014	  0.562	3.826
  1.35	 0.014	  0.565	3.825
  1.35	 0.014	  0.567	3.825
  1.35	 0.014	  0.570	3.825
  1.35	 0.014	  0.574	3.825
  1.35	 0.014	  0.576	3.824
  1.35	 0.014	  0.580	3.824
  1.35	 0.014	  0.582	3.824
  1.35	 0.014	  0.585	3.823
  1.35	 0.014	  0.587	3.823
  1.35	 0.014	  0.590	3.822
  1.35	 0.014	  0.592	3.822
  1.35	 0.014	  0.594	3.822
  1.35	 0.014	  0.597	3.821
  1.35	 0.014	  0.599	3.821
  1.35	 0.014	  0.601	3.820
  1.35	 0.014	  0.603	3.819
  1.35	 0.014	  0.605	3.819
  1.35	 0.014	  0.606	3.818
  1.35	 0.014	  0.608	3.818
  1.35	 0.014	  0.609	3.817
  1.35	 0.014	  0.612	3.817
