#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:07:46 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:07:46	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=9.5
#-out=iso
#iso=iso
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
logAge	iso	Zini	logL	logTe
[yr]	 	 	[Lsun]	[K]
----	---	-----	-------	-----
 9.5	iso	0.014	 -0.562	3.689
 9.5	iso	0.014	 -0.551	3.690
 9.5	iso	0.014	 -0.541	3.692
 9.5	iso	0.014	 -0.531	3.693
 9.5	iso	0.014	 -0.521	3.695
 9.5	iso	0.014	 -0.511	3.696
 9.5	iso	0.014	 -0.501	3.698
 9.5	iso	0.014	 -0.491	3.700
 9.5	iso	0.014	 -0.481	3.701
 9.5	iso	0.014	 -0.471	3.702
 9.5	iso	0.014	 -0.461	3.704
 9.5	iso	0.014	 -0.451	3.705
 9.5	iso	0.014	 -0.441	3.707
 9.5	iso	0.014	 -0.431	3.708
 9.5	iso	0.014	 -0.421	3.710
 9.5	iso	0.014	 -0.411	3.711
 9.5	iso	0.014	 -0.402	3.713
 9.5	iso	0.014	 -0.392	3.714
 9.5	iso	0.014	 -0.382	3.716
 9.5	iso	0.014	 -0.372	3.717
 9.5	iso	0.014	 -0.363	3.719
 9.5	iso	0.014	 -0.353	3.720
 9.5	iso	0.014	 -0.344	3.721
 9.5	iso	0.014	 -0.334	3.723
 9.5	iso	0.014	 -0.324	3.724
 9.5	iso	0.014	 -0.315	3.726
 9.5	iso	0.014	 -0.305	3.727
 9.5	iso	0.014	 -0.296	3.728
 9.5	iso	0.014	 -0.286	3.730
 9.5	iso	0.014	 -0.277	3.731
 9.5	iso	0.014	 -0.267	3.732
 9.5	iso	0.014	 -0.258	3.733
 9.5	iso	0.014	 -0.248	3.734
 9.5	iso	0.014	 -0.239	3.736
 9.5	iso	0.014	 -0.230	3.737
 9.5	iso	0.014	 -0.220	3.738
 9.5	iso	0.014	 -0.211	3.739
 9.5	iso	0.014	 -0.202	3.740
 9.5	iso	0.014	 -0.183	3.743
 9.5	iso	0.014	 -0.164	3.745
 9.5	iso	0.014	 -0.146	3.747
 9.5	iso	0.014	 -0.127	3.750
 9.5	iso	0.014	 -0.109	3.752
 9.5	iso	0.014	 -0.091	3.754
 9.5	iso	0.014	 -0.072	3.756
 9.5	iso	0.014	 -0.054	3.758
 9.5	iso	0.014	 -0.036	3.760
 9.5	iso	0.014	 -0.018	3.762
 9.5	iso	0.014	  0.000	3.764
 9.5	iso	0.014	  0.018	3.766
 9.5	iso	0.014	  0.036	3.768
 9.5	iso	0.014	  0.054	3.770
 9.5	iso	0.014	  0.072	3.772
 9.5	iso	0.014	  0.090	3.774
 9.5	iso	0.014	  0.108	3.775
 9.5	iso	0.014	  0.126	3.777
 9.5	iso	0.014	  0.143	3.779
 9.5	iso	0.014	  0.161	3.780
 9.5	iso	0.014	  0.179	3.782
 9.5	iso	0.014	  0.210	3.785
 9.5	iso	0.014	  0.238	3.787
 9.5	iso	0.014	  0.266	3.789
 9.5	iso	0.014	  0.293	3.791
 9.5	iso	0.014	  0.320	3.793
 9.5	iso	0.014	  0.347	3.795
 9.5	iso	0.014	  0.373	3.796
 9.5	iso	0.014	  0.399	3.798
 9.5	iso	0.014	  0.424	3.799
 9.5	iso	0.014	  0.475	3.802
 9.5	iso	0.014	  0.531	3.802
 9.5	iso	0.014	  0.584	3.801
 9.5	iso	0.014	  0.616	3.801
