#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-10T01:07:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-10T01:07:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=8.5
#-out=iso
#iso=iso
#-out=Zini
#Zini=0.014
#-out=logL
#-out=logTe
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
logAge	iso	Zini	logL	logTe
[yr]	 	 	[Lsun]	[K]
----	---	-----	-------	-----
 8.5	iso	0.014	 -0.589	3.687
 8.5	iso	0.014	 -0.580	3.689
 8.5	iso	0.014	 -0.570	3.690
 8.5	iso	0.014	 -0.561	3.692
 8.5	iso	0.014	 -0.551	3.693
 8.5	iso	0.014	 -0.542	3.694
 8.5	iso	0.014	 -0.533	3.696
 8.5	iso	0.014	 -0.523	3.697
 8.5	iso	0.014	 -0.514	3.699
 8.5	iso	0.014	 -0.505	3.700
 8.5	iso	0.014	 -0.496	3.702
 8.5	iso	0.014	 -0.486	3.703
 8.5	iso	0.014	 -0.477	3.704
 8.5	iso	0.014	 -0.468	3.706
 8.5	iso	0.014	 -0.459	3.707
 8.5	iso	0.014	 -0.450	3.709
 8.5	iso	0.014	 -0.441	3.710
 8.5	iso	0.014	 -0.432	3.711
 8.5	iso	0.014	 -0.423	3.713
 8.5	iso	0.014	 -0.415	3.714
 8.5	iso	0.014	 -0.406	3.715
 8.5	iso	0.014	 -0.397	3.717
 8.5	iso	0.014	 -0.388	3.718
 8.5	iso	0.014	 -0.380	3.719
 8.5	iso	0.014	 -0.371	3.721
 8.5	iso	0.014	 -0.362	3.722
 8.5	iso	0.014	 -0.354	3.723
 8.5	iso	0.014	 -0.345	3.725
 8.5	iso	0.014	 -0.336	3.726
 8.5	iso	0.014	 -0.328	3.727
 8.5	iso	0.014	 -0.319	3.728
 8.5	iso	0.014	 -0.311	3.730
 8.5	iso	0.014	 -0.302	3.731
 8.5	iso	0.014	 -0.294	3.732
 8.5	iso	0.014	 -0.285	3.733
 8.5	iso	0.014	 -0.277	3.734
 8.5	iso	0.014	 -0.269	3.735
 8.5	iso	0.014	 -0.260	3.737
 8.5	iso	0.014	 -0.252	3.738
 8.5	iso	0.014	 -0.244	3.739
 8.5	iso	0.014	 -0.236	3.740
 8.5	iso	0.014	 -0.219	3.742
 8.5	iso	0.014	 -0.203	3.745
 8.5	iso	0.014	 -0.187	3.747
 8.5	iso	0.014	 -0.171	3.749
 8.5	iso	0.014	 -0.155	3.751
 8.5	iso	0.014	 -0.139	3.754
 8.5	iso	0.014	 -0.123	3.756
 8.5	iso	0.014	 -0.108	3.758
 8.5	iso	0.014	 -0.092	3.760
 8.5	iso	0.014	 -0.077	3.761
 8.5	iso	0.014	 -0.061	3.763
 8.5	iso	0.014	 -0.046	3.765
 8.5	iso	0.014	 -0.031	3.767
 8.5	iso	0.014	 -0.016	3.769
 8.5	iso	0.014	 -0.001	3.771
 8.5	iso	0.014	  0.014	3.772
 8.5	iso	0.014	  0.029	3.774
 8.5	iso	0.014	  0.044	3.776
 8.5	iso	0.014	  0.058	3.778
 8.5	iso	0.014	  0.073	3.780
 8.5	iso	0.014	  0.086	3.781
 8.5	iso	0.014	  0.110	3.784
 8.5	iso	0.014	  0.134	3.786
 8.5	iso	0.014	  0.158	3.789
 8.5	iso	0.014	  0.182	3.791
 8.5	iso	0.014	  0.205	3.794
 8.5	iso	0.014	  0.228	3.796
 8.5	iso	0.014	  0.251	3.798
 8.5	iso	0.014	  0.273	3.801
 8.5	iso	0.014	  0.295	3.803
 8.5	iso	0.014	  0.319	3.806
