#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-02-05T03:26:56 [V7.32.7]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2024-02-05T03:26:56	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/537/A146&tab:{J/A+A/537/A146/iso}&key:source=J/A+A/537/A146/iso&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-source=J/A+A/537/A146/iso
#-order=I
#-out=logAge
#logAge=8.5
#-out=iso
#iso=iso
#-out=Rot
#Rot=r
#Zini=0.014
#-out=Mass
#-out=logL
#-out=logTe
#-out=Vmag
#-out=B-V
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.7	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	
#INFO	publisher=CDS	
#INFO	creator=Ekstrom S.	
#INFO	related_resource=bibcode:2012A&A...537A.146E	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	
#INFO	publication_id=doi:10.26093/cds/vizier.35370146	
#INFO	publication_date=2012-04-03	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
logAge	iso	Rot	Mass	logL	logTe	Vmag	B-V
[yr]	 	 	Msun	[Lsun]	[K]	mag	mag
----	---	-	-------	-------	-----	-------	------
 8.5	iso	r	  0.800	 -0.590	3.687	  6.617	 0.960
 8.5	iso	r	  0.804	 -0.581	3.689	  6.588	 0.952
 8.5	iso	r	  0.807	 -0.572	3.690	  6.560	 0.945
 8.5	iso	r	  0.811	 -0.562	3.692	  6.531	 0.938
 8.5	iso	r	  0.815	 -0.553	3.693	  6.502	 0.930
 8.5	iso	r	  0.819	 -0.543	3.694	  6.474	 0.923
 8.5	iso	r	  0.822	 -0.534	3.696	  6.446	 0.916
 8.5	iso	r	  0.826	 -0.524	3.697	  6.418	 0.909
 8.5	iso	r	  0.830	 -0.515	3.699	  6.390	 0.902
 8.5	iso	r	  0.834	 -0.506	3.700	  6.362	 0.895
 8.5	iso	r	  0.837	 -0.497	3.702	  6.334	 0.888
 8.5	iso	r	  0.841	 -0.488	3.703	  6.306	 0.881
 8.5	iso	r	  0.845	 -0.479	3.704	  6.278	 0.875
 8.5	iso	r	  0.848	 -0.470	3.706	  6.251	 0.868
 8.5	iso	r	  0.852	 -0.460	3.707	  6.224	 0.861
 8.5	iso	r	  0.856	 -0.452	3.708	  6.196	 0.855
 8.5	iso	r	  0.860	 -0.443	3.710	  6.169	 0.848
 8.5	iso	r	  0.863	 -0.434	3.711	  6.142	 0.842
 8.5	iso	r	  0.867	 -0.425	3.713	  6.116	 0.835
 8.5	iso	r	  0.871	 -0.416	3.714	  6.089	 0.829
 8.5	iso	r	  0.874	 -0.407	3.715	  6.062	 0.822
 8.5	iso	r	  0.878	 -0.398	3.717	  6.035	 0.816
 8.5	iso	r	  0.882	 -0.390	3.718	  6.009	 0.809
 8.5	iso	r	  0.886	 -0.381	3.719	  5.982	 0.803
 8.5	iso	r	  0.889	 -0.372	3.721	  5.956	 0.796
 8.5	iso	r	  0.893	 -0.364	3.722	  5.930	 0.790
 8.5	iso	r	  0.897	 -0.355	3.723	  5.904	 0.783
 8.5	iso	r	  0.901	 -0.346	3.725	  5.878	 0.776
 8.5	iso	r	  0.904	 -0.338	3.726	  5.852	 0.770
 8.5	iso	r	  0.908	 -0.329	3.727	  5.827	 0.765
 8.5	iso	r	  0.912	 -0.321	3.728	  5.802	 0.759
 8.5	iso	r	  0.915	 -0.312	3.729	  5.776	 0.753
 8.5	iso	r	  0.919	 -0.304	3.731	  5.751	 0.747
 8.5	iso	r	  0.923	 -0.295	3.732	  5.726	 0.741
