   Wave (A)    Irradiance(ergs_s^-1_cm^-2_A^-1)
  15860.000    2.5245E+01
  15880.000    2.4141E+01
  15900.000    2.2983E+01
  15920.000    2.4505E+01
  15940.000    2.5278E+01
  15960.000    2.4248E+01
  15980.000    2.5243E+01
  16000.000    2.4494E+01
  16020.000    2.4531E+01
  16040.000    2.4493E+01
  16060.000    2.4352E+01
  16080.000    2.4575E+01
  16100.000    2.3391E+01
  16120.000    2.3930E+01
  16140.000    2.4194E+01
  16160.000    2.3024E+01
  16180.000    2.4162E+01
  16200.000    2.3223E+01
  16220.000    2.3698E+01
  16240.000    2.4005E+01
  16260.000    2.3908E+01
  16280.000    2.4115E+01
  16300.000    2.3727E+01
  16320.000    2.3610E+01
  16340.000    2.3330E+01
  16360.000    2.3040E+01
  16380.000    2.2368E+01
  16400.000    2.2292E+01
  16420.000    2.2242E+01
  16440.000    2.2204E+01
  16460.000    2.2790E+01
  16480.000    2.2822E+01
  16500.000    2.2361E+01
  16520.000    2.2413E+01
  16540.000    2.2612E+01
  16560.000    2.2584E+01
  16580.000    2.2564E+01
  16600.000    2.2320E+01
  16620.000    2.2393E+01
  16640.000    2.2242E+01
  16660.000    2.1897E+01
  16680.000    2.1577E+01
  16700.000    2.2107E+01
  16720.000    2.1205E+01
  16740.000    2.1685E+01
  16760.000    2.0977E+01
  16780.000    2.1293E+01
  16800.000    2.0320E+01
  16820.000    1.9976E+01
  16840.000    2.0907E+01
  16860.000    2.0985E+01
  16880.000    2.0954E+01
  16900.000    2.0767E+01
  16920.000    2.1103E+01
  16940.000    2.0968E+01
  16960.000    2.0895E+01
  16980.000    2.0807E+01
  17000.000    2.0465E+01
  17020.000    2.0302E+01
  17040.000    2.0332E+01
  17060.000    2.0365E+01
  17080.000    2.0019E+01
  17100.000    2.0153E+01
  17120.000    1.9346E+01
  17140.000    2.0216E+01
  17160.000    1.9993E+01
  17180.000    1.9914E+01
  17200.000    1.9615E+01
  17220.000    1.9599E+01
  17240.000    1.8948E+01
  17260.000    1.9354E+01
  17280.000    1.9262E+01
  17300.000    1.9368E+01
  17320.000    1.8984E+01
  17340.000    1.8025E+01
  17360.000    1.7565E+01
  17380.000    1.8173E+01
  17400.000    1.8672E+01
  17420.000    1.8501E+01
  17440.000    1.8797E+01
  17460.000    1.8411E+01
  17480.000    1.8333E+01
  17500.000    1.8376E+01
  17520.000    1.8283E+01
  17540.000    1.8478E+01
  17560.000    1.8387E+01
  17580.000    1.8349E+01
  17600.000    1.8284E+01
  17620.000    1.7763E+01
  17640.000    1.8045E+01
  17660.000    1.8159E+01
  17680.000    1.7961E+01
  17700.000    1.7812E+01
  17720.000    1.7888E+01
  17740.000    1.7880E+01
  17760.000    1.7532E+01
  17780.000    1.7407E+01
  17800.000    1.7433E+01
  17820.000    1.7374E+01
  17840.000    1.7349E+01
  17860.000    1.7253E+01
  17880.000    1.7443E+01
  17900.000    1.7274E+01
  17920.000    1.7140E+01
  17940.000    1.6993E+01
  17960.000    1.6981E+01
  17980.000    1.6947E+01
  18000.000    1.6861E+01
  18020.000    1.6548E+01
  18040.000    1.6759E+01
  18060.000    1.6649E+01
  18080.000    1.6624E+01
  18100.000    1.6591E+01
  18120.000    1.6409E+01
  18140.000    1.6221E+01
  18160.000    1.5783E+01
  18180.000    1.4645E+01
  18200.000    1.5676E+01
  18220.000    1.5547E+01
  18240.000    1.6031E+01
  18260.000    1.6023E+01
  18280.000    1.5804E+01
  18300.000    1.5942E+01
  18320.000    1.5797E+01
  18340.000    1.5706E+01
  18360.000    1.5700E+01
  18380.000    1.5496E+01
  18400.000    1.5522E+01
  18420.000    1.5217E+01
  18440.000    1.5343E+01
  18460.000    1.5443E+01
  18480.000    1.4804E+01
  18500.000    1.5389E+01
  18520.000    1.5267E+01
  18540.000    1.5141E+01
  18560.000    1.4885E+01
  18580.000    1.5069E+01
  18600.000    1.4803E+01
  18620.000    1.4683E+01
  18640.000    1.4745E+01
  18660.000    1.4497E+01
  18680.000    1.4495E+01
  18700.000    1.4626E+01
  18720.000    1.4150E+01
  18740.000    1.3745E+01
  18760.000    1.1969E+01
  18780.000    1.3983E+01
  18800.000    1.4110E+01
  18820.000    1.4298E+01
  18840.000    1.4218E+01
  18860.000    1.3934E+01
  18880.000    1.4226E+01
  18900.000    1.3839E+01
  18920.000    1.3784E+01
  18940.000    1.3614E+01
  18960.000    1.3333E+01
  18980.000    1.3789E+01
  19000.000    1.3682E+01
  19020.000    1.3977E+01
  19040.000    1.3673E+01
  19060.000    1.3731E+01
  19080.000    1.3612E+01
  19100.000    1.3705E+01
  19120.000    1.3383E+01
  19140.000    1.3632E+01
  19160.000    1.3503E+01
  19180.000    1.3429E+01
  19200.000    1.3188E+01
  19220.000    1.3427E+01
  19240.000    1.3221E+01
  19260.000    1.3305E+01
  19280.000    1.2957E+01
  19300.000    1.2925E+01
  19320.000    1.2760E+01
  19340.000    1.2956E+01
  19360.000    1.2924E+01
  19380.000    1.2969E+01
  19400.000    1.2528E+01
  19420.000    1.2678E+01
  19440.000    1.1588E+01
  19460.000    1.1428E+01
  19480.000    1.2442E+01
  19500.000    1.2422E+01
  19520.000    1.2050E+01
  19540.000    1.2651E+01
  19560.000    1.2576E+01
  19580.000    1.2545E+01
  19600.000    1.2443E+01
  19620.000    1.2333E+01
  19640.000    1.1955E+01
  19660.000    1.2147E+01
  19680.000    1.2363E+01
  19700.000    1.2247E+01
  19720.000    1.1855E+01
  19740.000    1.2050E+01
  19760.000    1.2133E+01
  19780.000    1.1760E+01
  19800.000    1.1864E+01
  19820.000    1.1873E+01
  19840.000    1.1864E+01
  19860.000    1.1504E+01
  19880.000    1.1936E+01
  19900.000    1.1894E+01
  19920.000    1.1709E+01
  19940.000    1.1478E+01
  19960.000    1.1643E+01
  19980.000    1.1514E+01
  20000.000    1.1661E+01
  20020.000    1.1529E+01
  20040.000    1.1442E+01
  20060.000    1.1406E+01
  20080.000    1.1516E+01
  20100.000    1.1460E+01
  20120.000    1.1403E+01
  20140.000    1.1321E+01
  20160.000    1.1339E+01
  20180.000    1.1301E+01
  20200.000    1.1138E+01
  20220.000    1.0926E+01
  20240.000    1.1092E+01
  20260.000    1.1094E+01
  20280.000    1.1003E+01
  20300.000    1.0742E+01
  20320.000    1.1006E+01
  20340.000    1.0838E+01
  20360.000    1.0822E+01
  20380.000    1.0529E+01
  20400.000    1.0839E+01
  20420.000    1.0749E+01
  20440.000    1.0783E+01
  20460.000    1.0752E+01
  20480.000    1.0657E+01
  20500.000    1.0639E+01
  20520.000    1.0497E+01
  20540.000    1.0536E+01
  20560.000    1.0535E+01
  20580.000    1.0467E+01
  20600.000    1.0259E+01
  20620.000    1.0450E+01
  20640.000    1.0024E+01
  20660.000    1.0372E+01
  20680.000    1.0293E+01
  20700.000    1.0092E+01
  20720.000    1.0179E+01
  20740.000    1.0231E+01
  20760.000    1.0192E+01
  20780.000    1.0164E+01
  20800.000    9.9324E+00
  20820.000    1.0048E+01
  20840.000    9.8551E+00
  20860.000    1.0005E+01
  20880.000    9.9635E+00
  20900.000    9.9470E+00
  20920.000    9.6181E+00
  20940.000    9.7106E+00
  20960.000    9.6708E+00
  20980.000    9.7334E+00
  21000.000    9.7251E+00
  21020.000    9.6875E+00
  21040.000    9.6995E+00
  21060.000    9.7003E+00
  21080.000    9.6431E+00
  21100.000    9.4581E+00
  21120.000    9.5703E+00
  21140.000    9.5234E+00
  21160.000    9.3436E+00
  21180.000    9.4499E+00
  21200.000    9.3331E+00
  21220.000    9.3586E+00
  21240.000    9.2011E+00
  21260.000    9.2575E+00
  21280.000    9.3106E+00
  21300.000    9.2531E+00
  21320.000    9.2652E+00
  21340.000    9.2219E+00
  21360.000    9.0167E+00
  21380.000    9.1725E+00
  21400.000    9.1160E+00
  21420.000    9.0995E+00
  21440.000    9.0291E+00
  21460.000    8.9480E+00
  21480.000    9.0086E+00
  21500.000    8.9737E+00
  21520.000    8.9027E+00
  21540.000    8.8786E+00
  21560.000    8.8665E+00
  21580.000    8.8336E+00
  21600.000    8.7533E+00
  21620.000    8.6550E+00
  21640.000    8.4724E+00
  21660.000    7.6085E+00
  21680.000    8.3038E+00
  21700.000    8.5174E+00
  21720.000    8.5514E+00
  21740.000    8.5553E+00
  21760.000    8.4606E+00
  21780.000    8.3171E+00
  21800.000    8.5286E+00
  21820.000    8.3434E+00
  21840.000    8.4566E+00
  21860.000    8.4530E+00
  21880.000    8.1660E+00
  21900.000    8.3228E+00
  21920.000    8.3703E+00
  21940.000    8.3288E+00
  21960.000    8.2985E+00
  21980.000    8.2970E+00
  22000.000    8.2562E+00
  22020.000    8.2103E+00
  22040.000    8.2136E+00
  22060.000    7.7843E+00
  22080.000    7.9724E+00
  22100.000    8.1097E+00
  22120.000    8.0976E+00
  22140.000    8.0623E+00
  22160.000    7.9713E+00
  22180.000    7.9627E+00
  22200.000    8.0011E+00
  22220.000    7.9578E+00
  22240.000    7.9236E+00
  22260.000    7.7527E+00
  22280.000    7.8448E+00
  22300.000    7.8377E+00
  22320.000    7.8309E+00
  22340.000    7.8213E+00
  22360.000    7.7783E+00
  22380.000    7.6192E+00
  22400.000    7.6656E+00
  22420.000    7.6530E+00
  22440.000    7.6612E+00
  22460.000    7.6565E+00
  22480.000    7.5155E+00
  22500.000    7.5898E+00
  22520.000    7.5466E+00
  22540.000    7.4097E+00
  22560.000    7.4632E+00
  22580.000    7.4929E+00
  22600.000    7.4776E+00
  22620.000    7.3006E+00
  22640.000    7.3918E+00
  22660.000    7.3368E+00
  22680.000    7.3667E+00
  22700.000    7.3506E+00
  22720.000    7.2998E+00
  22740.000    7.2551E+00
  22760.000    7.2904E+00
  22780.000    7.2774E+00
  22800.000    7.2341E+00
  22820.000    6.9163E+00
  22840.000    7.1532E+00
  22860.000    7.1200E+00
  22880.000    7.1412E+00
  22900.000    7.1240E+00
  22920.000    7.0891E+00
  22940.000    6.8391E+00
  22960.000    6.8927E+00
  22980.000    6.8794E+00
  23000.000    6.9156E+00
  23020.000    6.9302E+00
  23040.000    6.9190E+00
  23060.000    6.9051E+00
  23080.000    6.8890E+00
  23100.000    6.8487E+00
  23120.000    6.8408E+00
  23140.000    6.8389E+00
  23160.000    6.7448E+00
  23180.000    6.6813E+00
  23200.000    6.7551E+00
  23220.000    6.6094E+00
  23240.000    6.4711E+00
  23260.000    6.4684E+00
  23280.000    6.5896E+00
  23300.000    6.6045E+00
  23320.000    6.5276E+00
  23340.000    6.5622E+00
  23360.000    6.4709E+00
  23380.000    6.4443E+00
  23400.000    6.5257E+00
  23420.000    6.5152E+00
  23440.000    6.4992E+00
  23460.000    6.4610E+00
  23480.000    6.4618E+00
  23500.000    6.4509E+00
  23520.000    6.1869E+00
  23540.000    6.1653E+00
  23560.000    6.2710E+00
  23580.000    6.1809E+00
  23600.000    6.2605E+00
  23620.000    6.2837E+00
  23640.000    6.2533E+00
  23660.000    6.2438E+00
  23680.000    6.2327E+00
  23700.000    6.1543E+00
  23720.000    6.1835E+00
  23740.000    5.9546E+00
  23760.000    6.1393E+00
  23780.000    6.1734E+00
  23800.000    6.1417E+00
  23820.000    6.0653E+00
  23840.000    5.7515E+00
  23860.000    5.7588E+00
  23880.000    5.9639E+00
  23900.000    5.9762E+00
  23920.000    5.9440E+00
  23940.000    5.9453E+00
  23960.000    5.9254E+00
  23980.000    5.9567E+00
  24000.000    5.8677E+00
  24020.000    5.9166E+00
  24040.000    5.8944E+00
  24060.000    5.8672E+00
  24080.000    5.8558E+00
  24100.000    5.8473E+00
  24120.000    5.8438E+00
  24140.000    5.5938E+00
  24160.000    5.4342E+00
  24180.000    5.7096E+00
  24200.000    5.6737E+00
  24220.000    5.6924E+00
  24240.000    5.6491E+00
  24260.000    5.6449E+00
  24280.000    5.6386E+00
  24300.000    5.6612E+00
  24320.000    5.6290E+00
  24340.000    5.5823E+00
  24360.000    5.5253E+00
  24380.000    5.5218E+00
  24400.000    5.5800E+00
  24420.000    5.5577E+00
  24440.000    5.5426E+00
  24460.000    5.4177E+00
  24480.000    5.3668E+00
  24500.000    5.3513E+00
  24520.000    5.3445E+00
  24540.000    5.4049E+00
  24560.000    5.3078E+00
  24580.000    5.2422E+00
  24600.000    5.3938E+00
  24620.000    5.3751E+00
  24640.000    5.3718E+00
  24660.000    5.3436E+00
  24680.000    5.3378E+00
  24700.000    5.1696E+00
  24720.000    5.3151E+00
  24740.000    5.2079E+00
  24760.000    5.2820E+00
  24780.000    5.2426E+00
  24800.000    5.0246E+00
  24820.000    5.0259E+00
  24840.000    5.1910E+00
  24860.000    5.0014E+00
  24880.000    5.1546E+00
  24900.000    5.1533E+00
  24920.000    5.1361E+00
  24940.000    5.0783E+00
  24960.000    5.0943E+00
  24980.000    5.0745E+00
  25000.000    5.0910E+00
