#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:37:55 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:37:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=8.5&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
[yr]	 	 	Msun	 	Msun	[Lsun]	[K]	mag	mag	mag	mag	[cm/s2]	km/s	 	[Msun/yr]	
----	---	-	-------	-----	-------	-------	-----	-------	-------	------	------	------	---------	-------	--------	---------
 8.5	iso	r	  0.800	0.014	  0.800	 -0.590	3.687	  6.226	  6.617	 0.494	 0.960	 4.633	     2.92	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.804	0.014	  0.804	 -0.581	3.689	  6.202	  6.588	 0.487	 0.952	 4.631	     2.96	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.807	0.014	  0.807	 -0.572	3.690	  6.179	  6.560	 0.480	 0.945	 4.630	     3.00	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.811	0.014	  0.811	 -0.562	3.692	  6.155	  6.531	 0.472	 0.938	 4.628	     3.03	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.815	0.014	  0.815	 -0.553	3.693	  6.132	  6.502	 0.465	 0.930	 4.626	     3.07	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.819	0.014	  0.819	 -0.543	3.694	  6.108	  6.474	 0.458	 0.923	 4.625	     3.10	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.822	0.014	  0.822	 -0.534	3.696	  6.085	  6.446	 0.451	 0.916	 4.623	     3.13	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.826	0.014	  0.826	 -0.524	3.697	  6.061	  6.418	 0.444	 0.909	 4.621	     3.16	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.830	0.014	  0.830	 -0.515	3.699	  6.038	  6.390	 0.436	 0.902	 4.620	     3.19	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.834	0.014	  0.834	 -0.506	3.700	  6.015	  6.362	 0.429	 0.895	 4.618	     3.22	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.837	0.014	  0.837	 -0.497	3.702	  5.992	  6.334	 0.422	 0.888	 4.617	     3.25	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.841	0.014	  0.841	 -0.488	3.703	  5.969	  6.306	 0.415	 0.881	 4.615	     3.28	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.845	0.014	  0.845	 -0.479	3.704	  5.946	  6.278	 0.408	 0.875	 4.614	     3.31	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.848	0.014	  0.848	 -0.470	3.706	  5.924	  6.251	 0.401	 0.868	 4.612	     3.34	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.852	0.014	  0.852	 -0.460	3.707	  5.901	  6.224	 0.394	 0.861	 4.610	     3.36	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.856	0.014	  0.856	 -0.452	3.708	  5.879	  6.196	 0.387	 0.855	 4.609	     3.39	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.860	0.014	  0.860	 -0.443	3.710	  5.856	  6.169	 0.380	 0.848	 4.607	     3.41	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.863	0.014	  0.863	 -0.434	3.711	  5.834	  6.142	 0.374	 0.842	 4.606	     3.43	 0.0000	   0.000	 2.65e-01
 8.5	iso	r	  0.867	0.014	  0.867	 -0.425	3.713	  5.812	  6.116	 0.367	 0.835	 4.604	     3.45	 0.0000	   0.000	 2.65e-01
