#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:38:24 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:38:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=9.5&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
[yr]	 	 	Msun	 	Msun	[Lsun]	[K]	mag	mag	mag	mag	[cm/s2]	km/s	 	[Msun/yr]	
----	---	-	-------	-----	-------	-------	-----	-------	-------	------	------	------	---------	-------	--------	---------
 9.5	iso	r	  0.800	0.014	  0.800	 -0.569	3.688	  6.172	  6.561	 0.492	 0.957	 4.613	     1.33	 0.0000	   0.000	 2.61e-01
 9.5	iso	r	  0.804	0.014	  0.804	 -0.558	3.689	  6.146	  6.530	 0.484	 0.949	 4.611	     1.34	 0.0000	   0.000	 2.61e-01
 9.5	iso	r	  0.807	0.014	  0.807	 -0.548	3.691	  6.121	  6.499	 0.476	 0.941	 4.609	     1.36	 0.0000	   0.000	 2.61e-01
 9.5	iso	r	  0.811	0.014	  0.811	 -0.538	3.692	  6.095	  6.468	 0.468	 0.934	 4.607	     1.38	 0.0000	   0.000	 2.61e-01
 9.5	iso	r	  0.815	0.014	  0.815	 -0.528	3.694	  6.070	  6.438	 0.461	 0.926	 4.605	     1.40	 0.0000	   0.000	 2.61e-01
 9.5	iso	r	  0.819	0.014	  0.819	 -0.518	3.695	  6.045	  6.408	 0.453	 0.918	 4.603	     1.42	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.822	0.014	  0.822	 -0.508	3.697	  6.020	  6.377	 0.446	 0.911	 4.601	     1.44	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.826	0.014	  0.826	 -0.498	3.698	  5.995	  6.347	 0.438	 0.903	 4.599	     1.46	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.830	0.014	  0.830	 -0.488	3.700	  5.970	  6.317	 0.431	 0.896	 4.597	     1.47	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.834	0.014	  0.834	 -0.478	3.701	  5.945	  6.287	 0.423	 0.889	 4.595	     1.49	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.837	0.014	  0.837	 -0.468	3.703	  5.920	  6.257	 0.416	 0.882	 4.593	     1.51	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.841	0.014	  0.841	 -0.458	3.704	  5.895	  6.227	 0.408	 0.875	 4.591	     1.52	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.845	0.014	  0.845	 -0.448	3.706	  5.871	  6.198	 0.401	 0.868	 4.589	     1.53	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.848	0.014	  0.848	 -0.438	3.707	  5.846	  6.168	 0.394	 0.861	 4.587	     1.55	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.852	0.014	  0.852	 -0.429	3.709	  5.821	  6.138	 0.386	 0.854	 4.585	     1.56	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.856	0.014	  0.856	 -0.419	3.710	  5.797	  6.109	 0.379	 0.847	 4.583	     1.57	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.860	0.014	  0.860	 -0.409	3.712	  5.772	  6.080	 0.372	 0.840	 4.581	     1.59	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.863	0.014	  0.863	 -0.399	3.713	  5.748	  6.050	 0.364	 0.833	 4.579	     1.60	 0.0000	   0.000	 2.60e-01
 9.5	iso	r	  0.867	0.014	  0.867	 -0.390	3.715	  5.724	  6.021	 0.357	 0.826	 4.577	     1.61	 0.0000	   0.000	 2.60e-01
