#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-14T21:38:48 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-14T21:38:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-source=J/A+A/537/A146/iso&-order=I&-out=logAge&logAge=10.1&-out=iso&iso=iso&-out=Rot&Rot=r&-out=Mini&-out=Zini&Zini=0.014&-out=Mass&-out=logL&-out=logTe&-out=Mbol&-out=Vmag&-out=U-B&-out=B-V&-out=logg&-out=Veq&-out=OOc&-out=logdM/dtm&-out=He4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35370146
#Name: J/A+A/537/A146
#Title: Stellar models with rotation. 0.8<M<120, Z=0.014 (Ekstrom+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/a+a/537/a146	    IVOID of underlying data collection
#INFO	creator=Ekstrom S.	    First author or institution
#INFO	cites=bibcode:2012A&A...537A.146E	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/537/A146	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35370146	    Dataset identifier that can be used for citation
#INFO	publication_date=2012-04-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_537_A146_iso:
#Name: J/A+A/537/A146/iso
#Title: Isochrnones
#Column	logAge	(F4.1)	Initial age	[ucd=time.age]
#Column	iso	(A3)	Isochrone for this age	[ucd=meta.ref.url]
#Column	Rot	(A1)	[nr] r for rotation, n for no rotation	[ucd=meta.code]
#Column	Mini	(F7.3)	Initial mass	[ucd=phys.mass]
#Column	Zini	(F5.3)	[0.014] Initial metallicity	[ucd=phys.abund.Z]
#Column	Mass	(F7.3)	Actual mass at the age of the isochrone	[ucd=phys.mass]
#Column	logL	(F7.3)	Luminosity in log scale	[ucd=phys.luminosity]
#Column	logTe	(F5.3)	Effective temperature in log scale	[ucd=phys.temperature.effective;instr.scale]
#Column	Mbol	(F7.3)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Vmag	(F7.3)	V-band absolute magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-B	(F6.3)	U-B colour index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	logg	(F6.3)	Polar effective surface gravity in log scale	[ucd=instr.scale]
#Column	Veq	(F9.2)	Equatorial velocity	[ucd=phys.veloc;pos.eq]
#Column	OOc	(F7.4)	Actual {Omega}_surf_/{Omega}_crit_	[ucd=stat.fit.param]
#Column	logdM/dtm	(F8.3)	Mechanical mass loss in log scale	[ucd=phys.mass.loss]
#Column	He4	(E9.2)	4He surface abundance (mass fraction)	[ucd=phys.abund]
logAge	iso	Rot	Mini	Zini	Mass	logL	logTe	Mbol	Vmag	U-B	B-V	logg	Veq	OOc	logdM/dtm	He4
[yr]	 	 	Msun	 	Msun	[Lsun]	[K]	mag	mag	mag	mag	[cm/s2]	km/s	 	[Msun/yr]	
----	---	-	-------	-----	-------	-------	-----	-------	-------	------	------	------	---------	-------	--------	---------
10.1	iso	r	  0.800	0.014	  0.800	 -0.444	3.699	  5.859	  6.208	 0.434	 0.899	 4.535	     0.84	 0.0000	   0.000	 2.48e-01
10.1	iso	r	  0.804	0.014	  0.804	 -0.430	3.701	  5.825	  6.169	 0.425	 0.890	 4.530	     0.85	 0.0000	   0.000	 2.48e-01
10.1	iso	r	  0.807	0.014	  0.807	 -0.417	3.703	  5.792	  6.129	 0.416	 0.882	 4.526	     0.86	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.811	0.014	  0.811	 -0.403	3.704	  5.758	  6.090	 0.408	 0.874	 4.521	     0.87	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.815	0.014	  0.815	 -0.390	3.706	  5.724	  6.050	 0.399	 0.866	 4.516	     0.88	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.819	0.014	  0.819	 -0.376	3.708	  5.690	  6.011	 0.391	 0.858	 4.511	     0.90	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.822	0.014	  0.822	 -0.363	3.709	  5.656	  5.971	 0.383	 0.850	 4.506	     0.91	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.826	0.014	  0.826	 -0.349	3.711	  5.622	  5.931	 0.374	 0.842	 4.501	     0.92	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.830	0.014	  0.830	 -0.335	3.713	  5.588	  5.892	 0.366	 0.835	 4.496	     0.93	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.834	0.014	  0.834	 -0.322	3.714	  5.554	  5.852	 0.358	 0.827	 4.491	     0.94	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.837	0.014	  0.837	 -0.308	3.716	  5.520	  5.812	 0.350	 0.819	 4.485	     0.95	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.841	0.014	  0.841	 -0.294	3.718	  5.485	  5.772	 0.342	 0.811	 4.480	     0.97	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.845	0.014	  0.845	 -0.280	3.719	  5.450	  5.732	 0.334	 0.804	 4.474	     0.98	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.848	0.014	  0.848	 -0.266	3.721	  5.415	  5.691	 0.326	 0.796	 4.469	     0.99	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.852	0.014	  0.852	 -0.252	3.722	  5.380	  5.651	 0.318	 0.788	 4.463	     1.00	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.856	0.014	  0.856	 -0.238	3.724	  5.345	  5.610	 0.310	 0.780	 4.457	     1.01	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.860	0.014	  0.860	 -0.224	3.726	  5.310	  5.569	 0.303	 0.773	 4.451	     1.02	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.863	0.014	  0.863	 -0.210	3.727	  5.274	  5.529	 0.295	 0.765	 4.445	     1.04	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.867	0.014	  0.867	 -0.195	3.728	  5.238	  5.488	 0.288	 0.758	 4.438	     1.04	 0.0000	   0.000	 2.47e-01
10.1	iso	r	  0.871	0.014	  0.871	 -0.181	3.730	  5.202	  5.447	 0.280	 0.750	 4.431	     1.06	 0.0000	   0.000	 2.47e-01
